Time,Open,High,Low,Close,Vol,Percent,Id,Timestamp,Vol20,Vol21
1558743900,32435,32435,32352.8,32434,0.0836027,0.25,72,2019-05-25 00:25:00,0.0836027,0.5651555339999932
1558744200,32434,32434,32352.80001,32434,0.24717533,0.0,73,2019-05-25 00:30:00,0.24717533,0.5758042794999931
1558744500,32352.92003,32434,32352.8,32380,0.35829201,-0.17,74,2019-05-25 00:35:00,0.35829201,0.5883959799999932
1558744800,32433.99,32434,32353,32434,1.33728562,0.17,75,2019-05-25 00:40:00,1.33728562,0.624804888499993
1558745100,32434,32434,32353,32433,0.04885435,-0.0,76,2019-05-25 00:45:00,0.04885435,0.570001086499993
1558745400,32433,32434,32355,32400,1.32119019,-0.1,77,2019-05-25 00:50:00,1.32119019,0.521176718999993
1558745700,32355,32400,32352.7,32400,0.50864498,0.0,78,2019-05-25 00:55:00,0.50864498,0.536436127999993
1558746000,32400,32400,32352.7,32352.7,0.161708,-0.15,79,2019-05-25 01:00:00,0.161708,0.43964489599999296
1558746300,32352.70001,32430,32352.7,32430,0.1907158,0.24,80,2019-05-25 01:05:00,0.1907158,0.4388055879999929
1558746600,32352.70001,32430,32352.7,32430,0.12850176,0.0,81,2019-05-25 01:10:00,0.12850176,0.428357475499993
1558746900,32352.70001,32430,32352.70001,32352.70001,0.1002158,-0.24,82,2019-05-25 01:15:00,0.1002158,0.405043509499993
1558747200,32352.70011,32434,32352.70011,32430,0.37781759,0.24,83,2019-05-25 01:20:00,0.37781759,0.35483969149999295
1558747500,32434,32434,32352.9,32352.9,0.12238208,-0.24,84,2019-05-25 01:25:00,0.12238208,0.34299934899999296
1558747800,32434,32449,32370,32449,0.4587343,0.3,85,2019-05-25 01:30:00,0.4587343,0.34076486249999294
1558748100,32450,32500,32450,32452,1.50794058,0.01,86,2019-05-25 01:35:00,1.50794058,0.41350748599999304
1558748400,32452,32500,32452,32500,0.44637885,0.15,87,2019-05-25 01:40:00,0.44637885,0.428594464999993
1558748700,32500,32550,32500,32550,0.48810133,0.15,88,2019-05-25 01:45:00,0.48810133,0.42973530299999296
1558749000,32533,32665,32533,32665,0.19805795,0.35,89,2019-05-25 01:50:00,0.19805795,0.43173658049999303
1558749300,32664.99,32664.99993,32525.00001,32525.00001,0.08758713,-0.43,90,2019-05-25 01:55:00,0.08758713,0.41907831749999297
1558749600,32664.99,32664.99,32452.01,32452.01,0.25733172,-0.22,91,2019-05-25 02:00:00,0.25733172,0.42152590349999297
1558749900,32663.2,32663.90968,32452.01,32452.01003,0.15136805,0.0,92,2019-05-25 02:05:00,0.15136805,0.42491417099999296
1558750200,32664.97954,32664.97961,32452.01047,32452.01192,0.0999135,0.0,93,2019-05-25 02:10:00,0.0999135,0.417551079499993
1558750500,32600,32600,32452.01,32452.01,0.17502987,-0.0,94,2019-05-25 02:15:00,0.17502987,0.408387972499993
1558750800,32597.99993,32597.99993,32452,32597.95993,0.28041127,0.45,95,2019-05-25 02:20:00,0.28041127,0.355544254999993
1558751100,32597.95993,32599.99,32452,32452,0.11793096,-0.45,96,2019-05-25 02:25:00,0.11793096,0.35899808549999296
1558751400,32599.99,32657.93999,32452,32452,0.50175779,0.0,97,2019-05-25 02:30:00,0.50175779,0.31802646549999297
1558752000,32650.96976,32650.96976,32500.9696,32500.9696,0.01073425,0.15,98,2019-05-25 02:40:00,0.01073425,0.29313092899999293
